Train Coverage,Total Epoches,AAPL_Mean_RL-TWAP,AAPL_STDEV_RL-TWAP,AAPL_WinRate_RL-TWAP,AAPL_Mean_RL-AC,AAPL_STDEV_RL-AC,AAPL_WinRate_RL-AC,MSFT_Mean_RL-TWAP,MSFT_STDEV_RL-TWAP,MSFT_WinRate_RL-TWAP,MSFT_Mean_RL-AC,MSFT_STDEV_RL-AC,MSFT_WinRate_RL-AC,GOOGL_Mean_RL-TWAP,GOOGL_STDEV_RL-TWAP,GOOGL_WinRate_RL-TWAP,GOOGL_Mean_RL-AC,GOOGL_STDEV_RL-AC,GOOGL_WinRate_RL-AC,AMZN_Mean_RL-TWAP,AMZN_STDEV_RL-TWAP,AMZN_WinRate_RL-TWAP,AMZN_Mean_RL-AC,AMZN_STDEV_RL-AC,AMZN_WinRate_RL-AC,TSLA_Mean_RL-TWAP,TSLA_STDEV_RL-TWAP,TSLA_WinRate_RL-TWAP,TSLA_Mean_RL-AC,TSLA_STDEV_RL-AC,TSLA_WinRate_RL-AC
1500,20,0.68,2.66,40%,0.26,0.01,0%,9.17,4.75,6%,2.75,0.03,0%,3.32,2.13,0%,1.72,0.03,0%,0.04,3.34,46%,0.69,0.02,0%,3.97,10.53,40%,1.66,0.08,0%
2000,20,0.52,2.66,40%,0.24,0.01,0%,8.39,4.77,6%,2.51,0.07,0%,2.98,2.12,13%,1.58,0.05,0%,-0.19,3.35,46%,0.62,0.01,0%,2.43,10.5,40%,1.41,0.09,0%
